return_id,order_id,customer_id,email,return_date,reason,return_type,refunded_amount,return_channel,agent_id,refund_method
RTN-71902934,ORD-02793220,CUST-2379,alexandra.robles@hotmail.com,2024-09-11,Damaged in transit,Refund,80.61,NewEgg,ONLINE,Credit Card
RTN-93276328,ORD-54881216,CUST-1674,matthew.lucas@gmail.com,2024-09-21,Defective, Refund  ,1529.57,  Web  ,ONLINE,PayPal
RTN-94321769,ORD-85684323,CUST-5610,ian.lucas@gmail.com,2024-09-30,Arrived damaged,Refund,1585.47,Phone,CSR-0016,Credit Card
RTN-09942037,ORD-07114794,CUST-7465,rachael.walton@hotmail.com,2024-10-03,Product did not match description,Refund,624.92,Web,ONLINE,Credit Card
RTN-61482346,ORD-14973037,CUST-4389,william.james@hotmail.com,2024-09-26,Wrong item,Refund,172.67,Web,ONLINE,Credit Card
RTN-39140800,ORD-82334218,CUST-6760,paul.rodriguez@yahoo.com,2025-02-01,No longer needed,Refund,864.3,Web,ONLINE,PayPal
RTN-52238369,ORD-73378281,CUST-6949,tammie.hicks@gmail.com,2024-09-11,Defective,Refund,2234.77,Web,ONLINE,PayPal
RTN-13085707,ORD-82360930,CUST-3569,michelle.hudson@gmail.com,2024-09-11,Changed mind,Refund,169.22,Web,ONLINE,PayPal
RTN-45597178,ORD-86842375,CUST-3156,amber.miller@hotmail.com,2024-10-08,Changed mind,Refund,122.32,Ebay,ONLINE,ACH
RTN-95446257,ORD-08094872,CUST-4588,kelly.davis@gmail.com,2024-09-08,Found a better price,REFUND,738.78,Phone,CSR-0002,PayPal
RTN-13891526,ORD-08094872,CUST-4588,kelly.davis@gmail.com,2024-12-03,Changed mind,Refund,0.0,Phone,CSR-0002,PayPal
RTN-87174811,ORD-84002586,CUST-6648,angela.caldwell@gmail.com,2024-09-20,Damaged in transit,Refund,258.84,Ebay,ONLINE,Credit Card
RTN-53955784,ORD-23931283,GUEST-103438,drodriguez@example.com,2024-09-25,Wrong item,Refund,1385.53,Ebay,ONLINE,PayPal
RTN-18462267,ORD-72428554,CUST-4048,kevin.munoz@gmail.com,2024-09-09, Product did not match description  ,Refund,537.18,Phone,CSR-0005,PayPal
RTN-83436442,ORD-35495735,GUEST-101974,steven70@example.net,2024-09-26,Changed mind,Refund,194.54,Social Media,ONLINE,PayPal
RTN-15478519,ORD-89659819,CUST-5318,lisa.koch@hotmail.com,2024-09-25,Defective,Refund,8156.34,Phone,CSR-0012,Credit Card
RTN-69954754,ORD-89428906,CUST-2672,adam.meyer@hotmail.com,2024-09-13,Damaged in transit,Refund,291.61, Social Media  ,ONLINE,Credit Card
RTN-02714131,ORD-03070761,GUEST-102874,mcclainchristopher@example.org,2024-09-08,No longer needed,Refund,128.55,Social Media,ONLINE,Apple Pay
RTN-71345116,ORD-26538761,GUEST-101110,james63@example.com,2024-09-18,Defective,Refund,878.85,Phone,CSR-0020,ACH
RTN-10641659,ORD-96385924,GUEST-103530,martinmiranda@example.org,2024-09-08,Arrived damaged,Refund,1765.78,WEB,ONLINE,ACH
RTN-07605336,ORD-43792967,CUST-7188,jack.patel@gmail.com,2024-09-12, Arrived damaged  ,Refund,918.75,Web,ONLINE,PayPal
RTN-68832578,ORD-63553859,GUEST-101773,porterjacqueline@example.com,2024-09-21,Product did not match description,Refund,672.07,Web,,Credit Card
RTN-98423393,ORD-55428266,GUEST-101871,plopez@example.com,2024-09-16,Changed mind,refund,1259.89,Web,ONLINE,Credit Card
RTN-50360125,ORD-25529224,CUST-6875,justin.parker@yahoo.com,2024-09-27,Item arrived late,Refund,8.0,NewEgg,ONLINE,Apple Pay
RTN-05231711,ORD-23570297,CUST-3289,cody.burns@hotmail.com,2024-10-06,Product did not match description,Refund,4386.63, Web  ,,Apple Pay
RTN-70396321,ORD-37058006,CUST-1534,eric.richardson@yahoo.com,2024-12-06,Item arrived late,Refund,169.98,Web,ONLINE,Credit Card
RTN-42640530,ORD-37058006,CUST-1534,eric.richardson@yahoo.com,2024-12-08,Item arrived late,Refund,0.0,Web,ONLINE,Credit Card
RTN-02342708,ORD-14793201,CUST-6323,james.murray@gmail.com,2024-09-29,Product did not match description,Refund,698.89,Ebay,ONLINE,Credit Card
RTN-75667950,ORD-14793201,CUST-6323,james.murray@gmail.com,2025-03-30,Wrong item,Refund,0.0,Ebay,ONLINE,Credit Card
RTN-30694696,ORD-26930152,CUST-4087,kimberly.williams@hotmail.com,2024-10-07,  No longer needed  , Refund  ,1208.92,social media,ONLINE,ACH
RTN-26866361,ORD-26930152,CUST-4087,kimberly.williams@hotmail.com,2024-10-23,Damaged in transit,Refund,1334.31,Social Media,ONLINE,ACH
RTN-55901133,ORD-04704708,CUST-3237,victoria.jones@yahoo.com,2024-11-04,Found a better price,REFUND,890.31,Phone,CSR-0017,Apple Pay
RTN-11412760,ORD-90857123,GUEST-101592,danielsullivan@example.com,2024-09-29,  Defective  ,Refund,383.7,Web,ONLINE,Credit Card
RTN-39255635,ORD-41115562,GUEST-102644,kdaniel@example.org,2024-09-14,No longer needed,Refund,1035.8,Web,ONLINE,Credit Card
RTN-14062704,ORD-03515604,GUEST-102681,wnguyen@example.org,2024-09-14,  Wrong item  ,  Refund ,793.03, Web  ,ONLINE,Google Pay
RTN-21727042,ORD-78890350,CUST-6092,natalie.smith@hotmail.com,2024-09-20,Found a better price,Refund,742.5,  Social Media  ,ONLINE,Apple Pay
RTN-40290190,ORD-65336881,CUST-3707,derek.brown@yahoo.com,2024-09-17, Arrived damaged ,Refund,1283.36,Web,ONLINE,Credit Card
RTN-59101192,ORD-77532518,CUST-3408,rodney.brooks@gmail.com,2024-10-12,Damaged in transit,Refund,1467.77,NewEgg,ONLINE,Credit Card
RTN-14170343,ORD-95230976,CUST-6312,mitchell.white@gmail.com,2024-10-11,No longer needed,Refund,551.93,Ebay,ONLINE,PayPal
RTN-65256406,ORD-37190884,GUEST-101091,fmiller@example.net,2024-09-21,No Longer Needed,Refund,27.94,Social Media,ONLINE,Credit Card
RTN-93044485,ORD-05684533,CUST-5011,rachel.golden@hotmail.com,2024-12-06,  No longer needed ,Refund,928.4,Web,ONLINE,Credit Card
RTN-88683760,ORD-61854530,GUEST-102908,lwilcox@example.org,2025-04-02,No longer needed,Refund,316.12,Web,ONLINE,Apple Pay
RTN-10120275,ORD-61854530,GUEST-102908,lwilcox@example.org,2025-06-08,Item arrived late,Refund,274.93,Web,ONLINE,Apple Pay
RTN-75794125,ORD-39870509,GUEST-102652,thoward@example.com,2024-09-14,Item arrived late,Refund,523.76,Web,ONLINE,Credit Card
RTN-90144604,ORD-24191883,CUST-6077,patrick.martin@yahoo.com,2024-09-21,Item arrived late, Refund ,207.56,PHONE,CSR-0017,Apple Pay
RTN-78687381,ORD-85981241,CUST-4980,wendy.jensen@hotmail.com,2024-10-10,No longer needed,Refund,366.25,Web,ONLINE,Credit Card
RTN-48198872,ORD-38989182,CUST-2819,charles.fischer@yahoo.com,2024-10-05,No longer needed,Refund,944.89,Web,ONLINE,Credit Card
RTN-99201511,ORD-63437277,GUEST-100322,cranejulie@example.net,2024-12-04,No longer needed,Refund,337.05,Web,ONLINE,Credit Card
RTN-16216825,ORD-46220826,CUST-5833,melanie.skinner@yahoo.com,2024-09-18,Wrong Item,Refund,2475.85,Web,ONLINE,PayPal
RTN-38477081,ORD-37214824,CUST-7085,donald.tyler@yahoo.com,2024-09-26,Found a better price,Refund,1251.06,Web,ONLINE,Credit Card
RTN-50138779,ORD-21279717,GUEST-103044,kirstenellis@example.net,2024-10-08,Arrived damaged,Refund,498.27,Ebay,ONLINE,Credit Card
RTN-55468790,ORD-88772358,CUST-3509,sara.blankenship@gmail.com,2024-09-28,Defective,Refund,160.36,Web,ONLINE,Credit Card
RTN-19737879,ORD-38423621,CUST-6065,michael.martinez@hotmail.com,2024-09-30,No longer needed,Refund,54.3,Phone,CSR-0004,Apple Pay
RTN-43880277,ORD-89035508,GUEST-102322,brownryan@example.com,2024-09-22,Wrong item,Refund,1149.26,Web,ONLINE,ACH
RTN-23876083,ORD-89035508,GUEST-102322,brownryan@example.com,2024-09-28,No longer needed,Refund,0.0,Web,ONLINE,ACH
RTN-97031179,ORD-59355890,GUEST-102507,crystal35@example.net,2024-10-09,Arrived damaged,  Refund  ,1393.76,Web,ONLINE,Apple Pay
RTN-28849091,ORD-76440431,GUEST-102075,paulmelissa@example.com,2024-09-27,Found a better price,Refund,364.75, Social Media  ,ONLINE,ACH
RTN-75714516,ORD-16230606,CUST-6266,jenny.brown@yahoo.com,2024-10-07,Defective,Refund,664.66,Web,ONLINE,Credit Card
RTN-02308474,ORD-33893210,CUST-6784,charles.santiago@hotmail.com,2024-09-24,Product did not match description,Refund,1164.72,Web,ONLINE,Credit Card
RTN-77733935,ORD-15840573,GUEST-103142,michaeltaylor@example.org,2024-10-20, Product did not match description  ,Refund,407.35,Ebay,ONLINE,Apple Pay
RTN-13927292,ORD-44945872,CUST-6290,susan.may@hotmail.com,2024-11-25,No longer needed,  Refund  ,681.15,Web,ONLINE,Credit Card
RTN-59406935,ORD-27845032,CUST-4699,amanda.hughes@yahoo.com,2024-10-08,Defective,Refund,1438.3,Phone,CSR-0012,PayPal
RTN-21878846,ORD-52121882,CUST-6717,april.turner@yahoo.com,2024-10-15,Product did not match description,REFUND,811.23,Phone,CSR-0019,PayPal
RTN-41988335,ORD-06683204,GUEST-100292,kiarafuentes@example.net,2024-09-23,  Found a better price  ,Refund,152.87,Ebay,ONLINE,Credit Card
RTN-36595237,ORD-27240257,GUEST-101379,lindsay64@example.net,2024-10-01,Defective,Refund,291.84,  Web ,ONLINE,Google Pay
RTN-71684744,ORD-81745048,CUST-6354,james.nunez@hotmail.com,2024-10-13,Item arrived late,Refund,446.99,Web,ONLINE,Credit Card
RTN-67479428,ORD-79987470,GUEST-102729,lsmith@example.org,2024-10-15,Changed mind,Refund,221.81,Web,ONLINE,Credit Card
RTN-92829706,ORD-11348210,GUEST-103350,paulwhite@example.org,2024-09-23,Wrong item,Refund,1575.46,Phone,CSR-0009,PayPal
RTN-01444899,ORD-33536918,GUEST-103385,thomas06@example.org,2025-02-15,Defective,Refund,1278.48,  Social Media  ,ONLINE,Google Pay
RTN-96418657,ORD-71317357,CUST-7212,julian.gordon@gmail.com,2024-12-09,  Damaged in transit ,Refund,1059.46,  Phone  ,CSR-0001,Credit Card
RTN-31066006,ORD-38522203,CUST-6244,charles.alexander@gmail.com,2024-10-14,Defective,Refund,207.06,Web,ONLINE,Credit Card
RTN-26411519,ORD-14530741,GUEST-101609,pacemelissa@example.com,2024-09-24,Wrong item,Refund,1151.29,social media,ONLINE,Credit Card
RTN-98848906,ORD-33398636,GUEST-100474,gabriel68@example.com,2024-10-06, Arrived damaged ,Refund,943.18,Ebay,ONLINE,Google Pay
RTN-30782945,ORD-28756371,GUEST-102884,tanya21@example.org,2024-10-09,Found a better price,Refund,212.47,Social Media,ONLINE,Credit Card
RTN-12725421,ORD-89229279,CUST-3037,marcus.sanchez@gmail.com,2024-10-09,Defective,Refund,917.52,  Ebay ,ONLINE,PayPal
RTN-93178520,ORD-89229279,CUST-3037,marcus.sanchez@gmail.com,2025-01-04,Defective,Refund,0.0,Ebay,ONLINE,PayPal
RTN-04083101,ORD-22325781,GUEST-101573,ryan00@example.net,2024-09-29,Changed mind,Refund,1208.53,Web,ONLINE,PayPal
RTN-82494058,ORD-67348859,GUEST-103348,tanyayoung@example.net,2024-09-24, Damaged in transit  ,Refund,439.21,Phone,CSR-0003,Credit Card
RTN-74892438,ORD-82220583,CUST-5777,brandi.terry@gmail.com,2024-10-03,Wrong Item,Refund,2919.69,Web,ONLINE,Credit Card
RTN-47200641,ORD-38005590,GUEST-102829,edwardscarolyn@example.com,2024-10-01,Product did not match description,Refund,1479.74,Phone,CSR-0004,Credit Card
RTN-70374154,ORD-04319354,GUEST-102985,marycompton@example.org,2024-09-25,Item arrived late,Refund,565.02,Web,ONLINE,Credit Card
RTN-02564525,ORD-72680381,GUEST-100330,dale78@example.org,2024-11-04,  Defective  ,  Refund  ,365.77,  NewEgg ,ONLINE,Apple Pay
RTN-28931806,ORD-83427261,CUST-4438,daniel.lane@yahoo.com,2025-04-15,Arrived damaged,Refund,2304.74,Social Media,ONLINE,PayPal
RTN-72804800,ORD-75645623,CUST-4223,duane.cole@yahoo.com,2024-10-15,Arrived damaged,  Refund  ,3614.61,Phone,CSR-0009,Credit Card
RTN-40733239,ORD-75645623,CUST-4223,duane.cole@yahoo.com,2024-10-29,Product did not match description,Refund,0.0,Phone,,Credit Card
RTN-88810910,ORD-48737115,CUST-5950,julie.villanueva@hotmail.com,2024-10-16,Product did not match description,  Refund  ,243.7,Web,ONLINE,Credit Card
RTN-88564282,ORD-60145751,GUEST-101601,mnavarro@example.com,2024-11-13,  Changed mind  ,Refund,260.69, Ebay  ,ONLINE,Credit Card
RTN-35659561,ORD-78872948,CUST-6534,cody.hancock@gmail.com,2024-10-15,Defective,  Refund ,3808.67,Phone,CSR-0014,Apple Pay
RTN-00484200,ORD-78872948,CUST-6534,cody.hancock@gmail.com,2024-10-25,ARRIVED DAMAGED,Refund,0.0,Phone,CSR-0014,Apple Pay
RTN-10395928,ORD-47864203,GUEST-102207,stevenbonilla@example.com,2024-10-09,Wrong item,Refund,624.99,  Web ,ONLINE,Credit Card
RTN-50869112,ORD-42481028,CUST-5939,justin.daniel@gmail.com,2024-10-23,Damaged in transit,REFUND,5538.52,Phone,CSR-0002,Credit Card
RTN-33610857,ORD-42050142,CUST-6896,joseph.thomas@yahoo.com,2024-10-16,Product did not match description,Refund,1268.9,  Social Media ,ONLINE,Credit Card
RTN-66697292,ORD-10470759,GUEST-100724,vhammond@example.com,2024-10-23,Changed mind,Refund,399.98, Phone ,CSR-0014,Credit Card
RTN-09126287,ORD-05061095,CUST-1998,leslie.sandoval@gmail.com,2024-12-21, Damaged in transit  ,Refund,1075.84,Ebay,ONLINE,Credit Card
RTN-59839666,ORD-20188715,CUST-5706,rhonda.wright@hotmail.com,2024-10-10,  wrong item  ,Refund,1142.21,Ebay,ONLINE,Credit Card
RTN-85638523,ORD-16996594,GUEST-100184,leslie90@example.com,2024-10-17,Item arrived late,refund,63.33, Phone  ,CSR-0019,Apple Pay
RTN-66674259,ORD-78407052,CUST-7264,april.raymond@gmail.com,2025-07-27,No longer needed,Refund,208.07,Social Media,ONLINE,PayPal
RTN-66468143,ORD-43863403,CUST-6983,joyce.coleman@yahoo.com,2024-10-20,DEFECTIVE,Refund,555.12,Ebay,ONLINE,Credit Card
RTN-89818172,ORD-43469000,CUST-3989,daniel.orr@gmail.com,2025-01-02,Arrived damaged,Refund,324.56,Web,ONLINE,Credit Card
RTN-83439289,ORD-43469000,CUST-3989,daniel.orr@gmail.com,2025-01-28,NO LONGER NEEDED,Refund,0.0,Web,ONLINE,Credit Card
RTN-56221675,ORD-40336522,GUEST-100535,kyle83@example.net,2024-10-13,Defective,Refund,613.46,Ebay,ONLINE,Credit Card
RTN-05657595,ORD-49746596,CUST-6085,katie.may@yahoo.com,2024-10-11,Damaged in transit,Refund,646.89,Social Media,ONLINE,PayPal
RTN-78866134,ORD-77220509,CUST-6556,vanessa.young@gmail.com,2024-10-14,Arrived damaged,Refund,1645.34,Web,ONLINE,Apple Pay
RTN-18699702,ORD-69521428,GUEST-101380,muellerchristopher@example.net,2024-10-14,Item arrived late,Refund,403.96,Phone,CSR-0007,Google Pay
RTN-02027287,ORD-69521428,GUEST-101380,muellerchristopher@example.net,2024-11-01,Defective,Refund,1116.07,Phone,CSR-0007,Google Pay
RTN-18994384,ORD-73709178,GUEST-102121,markmason@example.net,2024-10-15,No longer needed,Refund,428.96,Web,ONLINE,PayPal
RTN-16841495,ORD-34122287,CUST-6956,christine.woods@gmail.com,2024-10-19, Damaged in transit ,Refund,121.32,NewEgg,ONLINE,Credit Card
RTN-32681053,ORD-00027067,GUEST-101729,bryceking@example.com,2024-10-15,Defective,Refund,1684.3,Web,ONLINE,Credit Card
RTN-73330913,ORD-54367440,CUST-3719,emily.gallagher@hotmail.com,2024-10-23,Changed mind, Refund  ,54.17,Phone,CSR-0016,PayPal
RTN-01997518,ORD-89544831,CUST-2895,xavier.lawrence@gmail.com,2024-10-11,Arrived Damaged,Refund,355.0,Ebay,ONLINE,Credit Card
RTN-42560494,ORD-53744225,GUEST-102013,vorozco@example.net,2024-10-10,No longer needed,Refund,632.37,Web,ONLINE,Credit Card
RTN-67734990,ORD-05784725,CUST-4557,scott.vaughn@yahoo.com,2024-10-10,Changed mind,Refund,282.06,Social Media,ONLINE,Credit Card
RTN-19866836,ORD-05784725,CUST-4557,scott.vaughn@yahoo.com,2024-10-29,Defective,Refund,29.08,SOCIAL MEDIA,ONLINE,Credit Card
RTN-33399702,ORD-19797151,CUST-5139,patricia.griffith@hotmail.com,2025-04-04,Product did not match description,Refund,176.42,Web,ONLINE,PayPal
RTN-98409185,ORD-91028377,GUEST-101301,katie95@example.net,2024-12-22,ITEM ARRIVED LATE,Refund,102.75,Ebay,ONLINE,Credit Card
RTN-32757449,ORD-83717612,GUEST-103230,kristenchristensen@example.net,2024-10-12,PRODUCT DID NOT MATCH DESCRIPTION,Refund,1389.12,NewEgg,ONLINE,Credit Card
RTN-23194818,ORD-21016527,GUEST-103811,sbell@example.org,2024-10-08,Changed mind,Refund,718.34,Web,ONLINE,Credit Card
RTN-20278732,ORD-94088940,CUST-5810,amy.franco@yahoo.com,2024-11-17,Damaged in transit,Refund,1146.44,Social Media,ONLINE,PayPal
RTN-72020291,ORD-94631510,GUEST-101026,reginaldnewman@example.org,2024-11-11,No longer needed,Refund,626.47,Web,,Credit Card
RTN-30373859,ORD-31677400,CUST-7277,victoria.jordan@hotmail.com,2024-12-08,No longer needed,Refund,263.36,Web,ONLINE,Apple Pay
RTN-95440256,ORD-31677400,CUST-7277,victoria.jordan@hotmail.com,2024-12-31,No longer needed,Refund,899.37,Web,ONLINE,Apple Pay
RTN-24157138,ORD-99118558,CUST-2957,michael.foster@yahoo.com,2025-04-29,Item arrived late,  Refund ,423.48,Web,ONLINE,Credit Card
RTN-54775418,ORD-96903200,GUEST-102631,glovertracy@example.com,2024-10-16,Product Did Not Match Description,Refund,1250.55,Social Media,ONLINE,PayPal
RTN-12524766,ORD-75914181,GUEST-103750,justinbonilla@example.net,2024-10-17,Damaged in transit,  Refund  ,401.46,Phone,CSR-0015,Credit Card
RTN-16711950,ORD-88277670,CUST-1880,willie.bryant@hotmail.com,2024-12-08,No longer needed,Refund,772.68, Web  ,ONLINE,Credit Card
RTN-24529567,ORD-29259586,GUEST-101477,qhernandez@example.org,2024-10-20,Wrong item,Refund,1069.45,Web,ONLINE,Apple Pay
RTN-58126840,ORD-90876275,GUEST-102344,frenchjeremy@example.net,2024-10-31,Item arrived late,Refund,832.11,Phone,CSR-0001,Credit Card
RTN-18978681,ORD-38927881,GUEST-101056,vchen@example.net,2024-12-31,Item arrived late,Refund,1275.37,Web,ONLINE,Credit Card
RTN-80189332,ORD-73399743,CUST-4115,keith.cohen@gmail.com,2024-10-12,No longer needed,Refund,564.03,  Ebay  ,ONLINE,Credit Card
RTN-61071108,ORD-73399743,CUST-4115,keith.cohen@gmail.com,2024-10-25,Changed mind,Refund,936.4,Ebay,ONLINE,Credit Card
RTN-35953914,ORD-53234069,CUST-5869,katie.moore@hotmail.com,2024-10-10,Defective,refund,2905.87,Web,ONLINE,PayPal
RTN-37241309,ORD-53234069,CUST-5869,katie.moore@hotmail.com,2024-11-01,  Found a better price ,Refund,0.0,Web,ONLINE,PayPal
RTN-09679001,ORD-94967084,CUST-4786,laura.soto@hotmail.com,2024-10-09,Arrived damaged,Refund,2270.75,Web,ONLINE,ACH
RTN-87063811,ORD-47874056,CUST-6620,brent.castillo@hotmail.com,2024-10-07,Arrived damaged,Refund,1136.82, Phone ,CSR-0003,PayPal
RTN-45261166,ORD-09744042,CUST-3732,john.craig@hotmail.com,2024-10-12,Wrong item,Refund,837.99,Web,ONLINE,Credit Card
RTN-26068670,ORD-09744042,CUST-3732,john.craig@hotmail.com,2024-10-22,Found a better price,Refund,0.0,Web,ONLINE,Credit Card
RTN-54128487,ORD-16495969,CUST-3966,judith.williams@gmail.com,2024-11-01,Item arrived late,Refund,1117.52,Phone,CSR-0015,Credit Card
RTN-64722260,ORD-36686618,CUST-6360,debbie.mcknight@hotmail.com,2024-11-01,Item arrived late,Refund,450.46,Phone,CSR-0007,PayPal
RTN-40138753,ORD-52583502,CUST-6796,jonathan.reyes@hotmail.com,2024-10-19,  Product did not match description  ,Refund,2007.68,Web,ONLINE,PayPal
RTN-10953892,ORD-33967434,CUST-2685,belinda.elliott@hotmail.com,2024-10-27,Wrong item,Refund,281.48,Social Media,ONLINE,Credit Card
RTN-72281880,ORD-83960260,GUEST-102221,allen59@example.net,2024-10-24,damaged in transit,Refund,434.24,Social Media,ONLINE,PayPal
RTN-69468682,ORD-41031457,GUEST-101030,wduffy@example.com,2024-10-17,No longer needed,Refund,478.98,Phone,CSR-0019,Credit Card
RTN-14568456,ORD-33576138,CUST-4375,bernard.butler@gmail.com,2024-10-23,Changed mind,Refund,198.67,Social Media,ONLINE,Credit Card
RTN-13060768,ORD-84611086,GUEST-102462,allison02@example.net,2024-10-24,Found a better price,Refund,585.33, Web ,ONLINE,Credit Card
RTN-32336916,ORD-83374890,GUEST-102138,hermanteresa@example.com,2024-10-23,No longer needed,Refund,57.12,Web,ONLINE,Credit Card
RTN-66210789,ORD-95768656,CUST-3938,brian.walker@gmail.com,2024-10-30,Defective,Refund,544.32,Web,ONLINE,Credit Card
RTN-20459038,ORD-66290540,CUST-4332,guy.peterson@yahoo.com,2024-12-22,Found a better price,REFUND,220.25,Phone,CSR-0007,Credit Card
RTN-75891824,ORD-02454894,CUST-6270,erica.holland@hotmail.com,2024-11-03,Found a better price,Refund,416.75,  NewEgg ,ONLINE,ACH
RTN-43323618,ORD-84595258,CUST-5279,brittney.reyes@gmail.com,2024-10-09,Found a better price,Refund,519.32,Web,ONLINE,PayPal
RTN-11223263,ORD-37706708,CUST-4987,adam.sutton@hotmail.com,2024-11-04,Defective,Refund,952.86, Phone  ,CSR-0006,Credit Card
RTN-03667946,ORD-31983078,CUST-3853,edward.robles@yahoo.com,2024-11-03,Item arrived late,Refund,714.99,Ebay,ONLINE,PayPal
RTN-59227985,ORD-62452179,CUST-1664,monica.porter@hotmail.com,2024-11-02,Changed mind,Refund,494.56,NewEgg,ONLINE,Credit Card
RTN-23964371,ORD-09255667,CUST-2690,nicholas.ross@hotmail.com,2024-11-07,Arrived damaged,Refund,616.73,Phone,CSR-0018,Credit Card
RTN-52044112,ORD-09255667,CUST-2690,nicholas.ross@hotmail.com,2024-12-05,Item arrived late,Refund,0.0,Phone,CSR-0018,Credit Card
RTN-34922206,ORD-32296005,CUST-3909,alec.taylor@gmail.com,2025-02-08,defective,Refund,7567.79,web,ONLINE,Credit Card
RTN-71238475,ORD-32296005,CUST-3909,alec.taylor@gmail.com,2025-03-05,Wrong item,Refund,0.0,Web,ONLINE,Credit Card
RTN-85655546,ORD-56256855,CUST-1784,charles.yoder@hotmail.com,2024-10-24,Product did not match description,Refund,1359.69, Web  ,ONLINE,PayPal
RTN-91698968,ORD-79074320,GUEST-103969,stanleyjames@example.com,2024-11-06,Product did not match description,Refund,558.83,Social Media,ONLINE,Credit Card
